Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
OrangeHrmLive,Chrome 67.0.3396.99,asde,2018-07-24 15:26:38,2018-07-24 15:26:51,13.893s,FAILED
,,,,,,
Test Cases/OrangeHrmLive/Login,Chrome 67.0.3396.99,Login to OrangeHrmLiveApp,2018-07-24 15:26:38,2018-07-24 15:26:50,12.474s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 15:26:38,2018-07-24 15:26:41,2.803s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 15:26:41,2018-07-24 15:26:46,4.747s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:26:46,2018-07-24 15:26:46,0.111s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 15:26:46,2018-07-24 15:26:46,0.114s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 15:26:46,2018-07-24 15:26:46,0.319s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:26:46,2018-07-24 15:26:50,4.054s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 15:26:50,2018-07-24 15:26:50,0.045s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 15:26:50,2018-07-24 15:26:50,0.028s,PASSED
,,,,,,
Test Cases/OrangeHrmLive/HomePg,Chrome 67.0.3396.99,sdfs,2018-07-24 15:26:50,2018-07-24 15:26:51,0.506s,FAILED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 15:26:50,2018-07-24 15:26:50,0.015s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 15:26:50,2018-07-24 15:26:50,0.013s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 15:26:50,2018-07-24 15:26:50,0.018s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 15:26:50,2018-07-24 15:26:50,0.019s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 15:26:50,2018-07-24 15:26:51,0.319s,FAILED
